directorGender,tmdbId,noDataCast,femaleCast,maleCast,noDataCrew,femaleCrew,maleCrew,movieId,imdbId
2,44284,5,1,0,14,0,0,127,111055
2,290157,1,0,0,2,0,0,128,110217
0,110972,1,3,5,11,5,9,129,114131
1,32622,2,2,1,8,5,3,130,112364
0,73067,1,1,5,4,0,3,131,113107
2,11863,2,4,15,3,0,3,132,113451
0,55475,13,0,2,0,0,2,133,114015
2,124636,11,0,1,2,0,0,134,114500
0,9101,8,5,34,9,5,14,135,116130
2,123360,0,2,0,5,1,0,136,113125
0,5757,7,6,6,2,0,3,137,113756
0,39428,0,6,5,1,2,4,138,113952
2,124639,0,0,0,1,0,0,139,114618
0,9302,1,4,7,2,1,5,140,118055
0,11000,0,3,7,0,1,4,141,115685
2,249882,0,1,4,3,0,1,143,113200
0,16388,4,4,2,4,0,3,144,112585
0,9737,11,7,14,3,3,14,145,112442
0,30765,1,1,3,1,0,2,146,112342
0,10474,3,2,7,5,2,3,147,112461
0,22279,4,6,10,16,5,8,148,112427
0,30157,1,6,6,8,2,7,149,109093
0,568,2,6,19,79,8,23,150,112384
0,11780,9,5,10,2,0,7,151,114287
0,34996,0,3,3,3,0,4,152,112288
0,414,2,4,11,70,8,21,153,112462
0,649,6,4,9,17,0,7,154,61395
0,1873,10,2,2,2,2,11,155,112495
4,5894,1,6,13,5,2,12,156,112541
0,1775,2,1,14,3,3,6,157,109370
2,8839,10,5,19,5,7,10,158,112642
0,20649,49,2,27,1,0,2,159,112688
0,10329,3,4,14,0,2,7,160,112715
0,8963,2,0,16,10,1,21,161,112740
2,26564,3,1,2,3,2,3,162,109508
0,8068,4,2,10,8,2,10,163,112851
2,8512,0,2,9,2,2,4,164,112857
0,1572,5,3,9,28,1,20,165,112864
0,13552,4,3,7,1,3,8,166,112887
0,259209,1,2,4,10,2,8,167,113044
0,6520,5,2,9,4,2,10,168,113071
2,9073,0,3,7,3,3,4,169,113114
0,10428,6,3,16,13,4,12,170,113243
0,17447,0,8,8,5,1,5,171,113464
0,9886,23,3,12,3,0,6,172,113481
0,9482,0,3,14,6,1,13,173,113492
0,19326,5,5,11,2,2,2,174,113500
0,9344,10,2,4,5,0,5,175,113540
0,9071,0,3,6,3,0,3,176,113677
0,8973,0,6,11,4,0,7,177,113690
0,15730,3,3,7,1,0,1,178,107447
1,47608,18,4,7,1,2,2,179,113729
0,2293,0,5,13,2,0,8,180,113749
0,9070,2,3,7,4,1,10,181,113820
0,68274,0,6,1,2,0,1,182,113851
0,48787,5,0,8,3,0,3,183,110604
0,34574,0,2,4,4,3,8,184,110620
0,1642,12,5,15,0,0,6,185,113957
0,11472,8,9,6,17,5,19,186,113986
1,36196,1,2,5,7,6,3,187,114095
0,11980,2,2,5,1,0,7,188,114194
0,58372,1,1,2,5,3,9,189,114241
0,32646,2,6,5,2,2,5,190,114323
2,10533,2,4,5,5,0,5,191,114345
3,56088,3,0,5,0,0,0,192,114435
0,10802,1,11,11,1,1,7,193,114436
4,10149,1,3,10,3,2,6,194,114478
0,18402,5,7,4,0,3,2,195,114496
0,9348,0,20,33,2,6,35,196,114508
0,139408,1,3,6,1,0,1,197,114534
1,281,0,4,10,3,6,8,198,114558
2,5967,4,2,3,8,0,2,199,58450
0,79593,7,18,14,10,6,12,200,114666
1,47939,1,5,13,0,3,2,201,114663
1,36834,8,2,7,3,2,4,202,114702
1,9090,0,6,9,3,5,8,203,114682
0,3512,1,3,8,7,1,12,204,114781
1,52856,1,1,3,0,1,1,205,114798
0,77350,1,4,2,0,0,1,206,114805
0,9560,0,4,4,30,5,23,207,114887
2,9804,2,3,10,85,4,27,208,114898
2,31611,0,2,3,2,0,0,209,114928
0,65796,0,4,7,0,0,2,210,114938
0,49805,3,2,7,1,0,2,211,109340
0,26258,2,1,7,1,0,4,212,112602
0,50797,1,2,3,16,0,7,213,111579
2,19155,16,3,7,40,4,8,214,110882
0,76,20,3,4,5,4,3,215,112471
1,11017,3,3,11,12,5,13,216,112508
0,37141,1,2,5,1,0,2,217,112438
2,9382,0,3,3,3,0,7,218,112571
0,6715,0,2,5,3,0,4,219,112757
0,18256,7,2,3,14,0,13,220,112643
0,22625,2,2,6,19,3,11,222,112679
0,2292,8,0,7,1,0,6,223,109445
0,1909,1,7,5,3,1,8,224,112883
0,8984,0,6,6,0,0,6,225,109635
2,61813,0,2,6,1,0,1,226,112899
0,4954,0,1,7,5,1,12,227,109676
0,62488,0,1,4,0,0,3,228,112854
0,10531,8,2,2,12,6,7,229,109579
2,11929,1,3,5,6,1,10,230,109642
4,8467,10,28,42,37,15,33,231,109686
0,10451,12,2,1,5,0,5,232,111797
0,20156,0,3,11,0,0,2,233,109759
0,18395,8,12,9,4,7,6,234,109758
0,522,19,10,39,34,4,14,235,109707
0,397,1,3,4,0,1,6,236,113117
0,10525,17,6,9,0,0,9,237,113097
2,27985,7,3,5,2,0,0,238,113028
4,15789,0,4,11,10,0,13,239,113198
2,27303,2,2,3,2,0,2,240,113303
0,21183,2,3,10,5,4,8,241,113089
2,10954,2,2,1,2,1,2,242,109771
2,47867,0,0,2,1,0,0,243,113199
2,43475,0,0,0,1,0,0,244,113234
0,72031,0,4,18,11,1,6,245,109906
0,14275,0,0,3,0,0,3,246,110057
0,1024,4,6,4,2,1,7,247,110005
0,17207,0,2,6,0,0,1,248,110066
0,13701,2,5,10,0,0,5,249,110116
0,14819,0,1,11,0,0,3,250,110006
0,32631,2,3,4,0,0,2,251,113360
0,11777,0,1,10,0,2,8,252,110099
2,628,2,6,7,5,5,8,253,110148
0,87729,2,5,7,1,1,2,254,113463
2,18713,1,1,7,1,0,0,255,110189
0,6280,41,12,13,1,2,6,256,110216
2,9061,20,27,13,7,8,16,257,113501
0,37108,0,2,4,0,0,1,258,113538
0,6071,0,2,8,3,0,4,259,113552
0,11,56,3,47,2,3,15,260,76759
1,9587,0,6,4,19,8,5,261,110367
0,19101,1,7,1,28,3,15,262,113670
0,49980,24,1,3,0,1,2,263,110296
2,17961,3,3,3,3,0,2,264,109731
0,18183,5,6,4,27,4,4,265,103994
0,4476,9,4,12,1,4,12,266,110322
0,11008,11,1,10,2,0,7,267,110443
0,47504,0,2,5,6,3,9,268,110365
1,32325,2,2,4,1,4,3,269,107566
0,43742,2,7,10,13,4,14,270,110391
0,28313,1,5,4,3,2,2,271,113691
0,11318,4,4,13,0,0,6,272,110428
0,3036,4,4,12,3,2,10,273,109836
0,40490,3,1,11,1,0,5,274,113755
2,24070,0,6,8,4,4,10,275,110538
0,8986,0,2,7,1,2,6,276,110516
2,10510,0,4,5,1,0,8,277,110527
0,17402,1,2,3,0,0,2,278,113808
0,38722,3,3,4,0,0,3,279,113896
0,8438,0,3,6,1,0,4,280,113870
0,11593,12,7,14,6,3,10,281,110684
0,1945,16,2,8,4,3,8,282,110638
0,39310,1,1,6,1,0,4,283,113967
0,109560,4,1,9,2,0,1,284,117169
0,56428,0,2,4,1,0,3,285,106402
0,63105,5,3,2,1,0,2,286,113948
0,131957,0,2,3,0,0,2,287,110671
0,241,13,8,26,3,3,14,288,110632
0,9058,0,3,5,2,1,4,289,110737
0,527,7,2,7,10,0,3,290,110729
1,18220,3,3,2,1,1,0,291,114151
0,6950,0,2,12,0,2,11,292,114069
0,101,9,4,26,9,2,8,293,110413
1,63020,0,3,4,5,6,8,294,114113
0,2307,0,3,6,4,3,7,295,114210
0,680,13,16,25,54,11,22,296,110912
0,41478,0,3,10,1,0,2,297,114084
0,25296,9,0,0,1,0,3,298,105652
1,40156,7,6,10,6,2,3,299,110889
0,11450,3,5,22,10,2,12,300,110932
2,30304,3,2,2,49,5,4,301,114129
0,10452,15,7,12,4,1,9,302,110963
0,12106,0,3,13,2,0,8,303,114214
0,161495,0,2,4,0,0,1,304,114296
0,3586,13,17,17,3,4,7,305,110907
0,110,3,3,4,2,0,8,306,111495
0,108,4,5,2,1,1,9,307,108394
0,109,2,2,6,5,2,5,308,111507
0,159185,2,0,0,4,0,1,309,110769
0,36357,2,0,3,0,0,2,310,114268
0,92769,1,3,6,0,0,2,311,110965
0,28033,0,4,5,1,0,3,312,114571
0,22586,3,2,8,58,2,15,313,111333
0,14334,4,0,3,6,3,9,314,111112
0,2636,6,2,4,5,3,6,315,111255
0,2164,3,2,10,13,2,15,316,111282
0,11395,2,3,6,0,0,8,317,111070
0,278,15,0,27,62,4,24,318,111161
0,9905,4,1,10,8,2,6,319,111149
4,87078,1,3,4,19,3,9,320,108260
4,12527,10,0,2,11,0,1,321,106966
0,20306,0,1,8,0,0,2,322,114594
4,36614,7,4,4,0,0,4,324,111309
0,27993,2,4,10,1,0,2,325,113936
0,31439,5,2,8,3,0,1,326,110081
1,9067,34,27,15,1,2,7,327,114614
0,9059,2,6,10,6,2,13,328,114608
0,193,1,4,12,3,1,11,329,111280
0,25066,6,3,21,0,1,8,330,114609
0,46797,3,5,6,0,1,5,331,111454
0,12122,2,6,6,0,1,11,332,114852
0,11381,0,2,8,0,1,5,333,114694
0,32636,1,4,5,1,1,6,334,111590
0,36141,17,6,14,7,7,10,335,114788
0,95963,0,1,5,0,0,2,336,114888
0,1587,10,7,8,0,0,3,337,108550
2,9271,0,6,5,3,0,5,338,114857
0,2064,0,6,4,5,0,3,339,114924
0,19855,6,6,10,4,0,3,340,111667
2,60855,1,2,3,21,3,3,341,109655
0,236,2,7,5,4,3,5,342,110598
1,48287,1,11,3,1,1,0,343,112435
0,3049,6,3,10,1,1,8,344,109040
0,2759,2,0,4,0,2,6,345,109045
0,12635,9,2,10,3,1,7,346,106339
0,10497,7,2,4,22,2,9,347,104779
0,11382,1,3,7,0,1,7,348,109348
0,9331,1,4,13,55,4,26,349,109444
0,10731,1,3,11,1,4,11,350,109446
1,10464,0,3,4,3,4,3,351,109484
0,34152,3,2,11,0,1,2,352,109504
0,9495,1,4,11,10,1,14,353,109506
0,29973,0,1,3,1,1,2,354,109450
0,888,3,3,9,7,4,20,355,109813
0,13,24,7,35,90,9,32,356,109830
0,712,5,9,15,2,3,8,357,109831
0,16295,1,6,7,2,1,7,358,113305
1,48992,4,3,2,0,2,0,359,110091
0,10879,1,7,8,12,5,9,360,110093
2,10660,18,6,17,1,1,5,361,110167
0,10714,1,1,4,5,0,8,362,110213
2,41647,4,2,1,9,0,0,363,107472
4,8587,5,7,16,16,2,17,364,110357
0,1689,7,2,3,0,0,7,365,107426
0,11596,17,11,14,24,5,8,366,111686
0,854,1,4,11,7,1,6,367,110475
0,9359,17,8,34,0,0,9,368,110478
0,23333,0,11,20,2,0,4,369,110588
0,36593,8,14,9,1,0,12,370,110622
0,12280,1,4,5,0,0,11,371,110771
0,2788,2,7,8,2,7,4,372,110950
0,10427,5,2,8,0,2,10,373,105226
0,11011,0,2,8,2,2,8,374,110989
0,49803,1,2,4,0,2,1,375,111054
0,8987,0,3,7,1,0,6,376,110997
0,1637,26,11,21,0,2,8,377,111257
0,15128,0,2,7,0,0,3,378,111256
0,8831,4,2,9,3,2,10,379,111438
0,36955,0,3,7,5,5,13,380,111503
2,10449,11,21,11,5,0,6,381,111693
0,10395,0,5,10,13,7,16,382,111742
0,12160,1,6,17,2,3,13,383,111756
0,40480,0,2,5,1,0,1,384,112443
0,52038,1,2,4,7,3,9,385,110455
0,29444,0,3,6,7,4,7,386,111048
0,26352,18,8,14,0,0,2,387,110399
4,39953,12,1,2,2,0,4,388,112570
2,41580,0,3,5,4,0,0,389,109454
2,315,8,1,1,7,0,2,390,59170
0,22067,0,4,5,1,0,1,391,110186
0,18242,2,0,1,0,0,2,392,108069
0,11667,1,2,11,7,1,10,393,111301
0,32502,1,2,6,0,0,1,394,112702
0,267188,1,3,4,0,0,2,395,112849
0,28732,1,1,3,2,0,1,396,113014
2,75555,2,4,5,5,1,5,397,113043
0,42981,0,0,0,0,0,1,398,113104
2,278939,0,2,4,1,0,2,399,113173
2,291731,0,2,3,3,0,0,400,113319
2,226229,0,1,3,1,0,0,401,113827
0,203119,1,2,3,0,0,2,402,114047
0,172923,0,1,3,0,0,1,403,112889
4,316098,0,0,1,2,0,0,404,109339
0,8011,1,1,6,1,0,4,405,110027
0,171857,0,1,2,0,0,1,406,109785
0,2654,2,1,9,2,2,9,407,113409
0,18069,0,2,4,1,0,1,408,109021
0,19092,0,0,7,0,0,1,409,109035
0,2758,1,8,14,2,0,12,410,106220
0,38129,0,0,1,0,0,2,411,111804
0,10436,8,9,7,0,3,5,412,106226
0,13595,0,2,12,7,2,7,413,109068
0,46094,6,1,6,11,3,8,414,109067
0,9409,1,3,5,1,2,5,415,106292
0,11853,0,4,5,1,1,4,416,109198
0,16771,0,2,3,0,0,2,417,109219
0,46924,11,2,21,2,1,9,418,106379
2,11041,1,6,5,2,0,8,419,106400
0,306,1,3,19,0,1,13,420,109254
1,14522,2,2,16,2,6,7,421,109279
0,26203,1,3,4,1,0,1,422,109297
0,178,3,4,8,3,1,10,423,109303
2,19819,1,2,7,5,0,11,424,109305
0,57834,0,3,3,5,3,7,425,109306
0,4722,2,4,4,5,2,9,426,106452
1,18215,12,2,6,7,3,6,427,106471
0,1607,22,2,7,28,4,13,428,106489
0,26391,0,3,10,1,0,3,429,109361
0,117553,3,0,5,1,0,1,430,106505
0,6075,22,7,34,23,3,14,431,106519
0,11310,2,2,10,0,0,5,432,109439
0,18658,1,4,11,1,1,5,433,109443
0,9350,1,3,11,10,5,14,434,106582
0,9612,2,9,20,1,1,10,435,106598
0,2124,4,3,8,3,2,10,436,109456
0,26261,0,2,6,1,0,1,437,109480
0,19176,0,3,8,6,3,10,438,109493
0,49299,2,1,3,0,0,2,439,106660
0,11566,40,9,27,9,3,14,440,106673
0,9571,0,9,8,2,1,5,441,106677
0,9739,4,2,16,91,5,28,442,106697
0,24257,0,0,0,0,0,1,443,109729
0,34444,3,7,8,6,6,10,444,106834
0,26141,0,3,7,1,1,6,445,106873
0,10997,13,1,3,4,0,2,446,106332
0,50463,0,3,4,5,5,7,447,109783
0,10443,38,28,16,6,6,12,448,106881
0,20239,2,1,5,0,0,2,449,106880
0,16297,17,2,5,4,3,5,450,111732
0,18551,6,4,5,0,0,2,451,106926
0,25440,1,2,2,1,0,1,452,111712
0,9024,4,4,8,0,1,13,453,106941
0,37233,1,4,17,2,2,15,454,106918
2,1634,5,3,7,2,4,5,455,106965
0,13815,16,5,13,9,2,8,456,109842
0,5503,29,7,26,10,3,18,457,106977
0,35588,7,0,24,28,2,20,458,107004
0,2087,1,2,8,0,2,11,459,109890
0,41579,0,1,5,0,0,3,460,109891
1,18620,4,1,0,3,7,1,461,109913
0,41006,0,2,4,0,0,2,462,109920
0,4916,1,3,5,0,0,6,463,107057
0,2019,5,3,8,26,4,13,464,107076
0,31642,2,5,7,0,1,5,465,107096
0,9255,2,2,9,2,1,11,466,107144
2,26271,3,5,3,10,3,4,467,113674
0,10612,9,2,8,25,5,7,468,112966
0,2259,5,6,5,2,4,7,469,107151
0,16097,4,3,6,2,0,2,470,110064
2,11934,3,3,18,4,0,6,471,110074
0,106143,3,5,4,3,3,9,472,110097
0,12475,0,2,4,14,4,14,473,110123
0,9386,15,5,20,12,9,15,474,107206
0,7984,27,4,27,30,5,20,475,107207
0,59930,0,4,5,0,0,1,476,110137
0,15765,0,8,3,1,1,1,477,108551
0,31643,0,1,4,0,0,4,478,110197
0,6,3,3,9,5,2,9,479,107286
0,329,6,2,19,85,9,24,480,107290
0,10909,1,4,6,22,4,14,481,107302
0,507,2,2,7,0,1,6,482,110265
0,34024,2,5,5,1,0,4,483,107322
0,29918,1,2,4,1,0,2,484,110305
0,9593,1,5,16,64,5,28,485,107362
0,42580,0,2,5,1,0,2,486,107413
4,22317,0,2,8,2,0,5,487,110353
0,1413,0,3,4,1,4,4,488,107468
0,12121,0,3,2,4,2,6,489,107478
0,2246,0,5,7,1,2,10,490,107497
0,10502,10,6,12,6,3,8,491,107501
0,10440,8,7,9,10,6,19,492,107507
4,9516,3,2,7,1,1,6,493,107554
0,2320,1,2,15,3,3,16,494,116253
0,5879,6,0,2,3,0,4,495,74102
0,83718,0,1,1,2,1,7,496,111689
0,11971,0,4,8,0,0,10,497,107616
0,2625,1,10,9,2,0,8,498,107611
0,31911,0,2,2,21,4,11,499,107613
0,788,9,5,11,3,8,10,500,107614
0,21450,0,5,5,0,0,6,501,107653
0,11231,5,2,8,2,0,6,502,110657
0,41588,2,4,4,0,0,2,503,110649
0,10447,18,0,16,51,2,9,504,110678
0,31586,17,13,26,0,3,15,505,110687
1,9300,17,5,16,4,3,3,506,107756
0,9559,9,5,15,1,2,11,507,107808
0,9800,25,9,27,16,4,16,508,107818
1,713,3,4,8,3,2,2,509,107822
0,8291,10,9,9,0,1,11,510,107840
0,18133,2,2,7,5,1,9,511,107889
0,25557,1,1,13,8,0,8,512,111003
0,22588,1,3,16,0,1,5,513,110939
0,10872,1,3,8,3,0,12,514,110955
0,1245,13,3,17,23,5,13,515,107943
1,11858,1,1,10,0,1,5,516,110971
0,7007,4,5,16,1,1,13,517,107969
0,10467,0,3,6,1,1,9,518,111001
0,5550,2,6,14,3,2,10,519,107978
0,8005,1,2,14,57,1,17,520,107977
0,2088,2,3,12,8,4,6,521,107983
0,10412,2,1,3,2,0,5,522,105275
0,47889,6,1,2,9,0,4,523,108000
0,14534,10,1,13,6,2,9,524,108002
0,56583,0,1,5,1,0,1,525,108026
0,41878,4,2,1,1,0,2,526,105032
0,424,15,4,11,20,3,13,527,108052
0,35233,0,2,7,2,0,3,528,111094
0,14291,1,2,10,3,1,5,529,108065
0,103413,1,1,4,2,1,2,530,111102
1,11236,9,4,5,26,5,11,531,108071
0,11592,46,13,8,1,1,4,532,111127
0,8850,3,1,20,1,0,6,533,111143
0,10445,1,2,11,3,5,18,534,108101
0,695,8,9,14,6,2,10,535,108122
0,43535,1,2,3,0,0,1,536,111194
0,12519,3,3,4,2,2,5,537,111201
0,23210,1,5,11,0,0,2,538,108149
2,858,5,9,9,5,7,15,539,108160
0,867,3,8,7,28,5,18,540,108162
0,78,13,6,12,17,4,16,541,83658
0,13203,1,2,6,0,1,2,542,108186
0,10442,4,5,9,1,1,7,543,108174
0,11074,1,1,9,2,0,6,544,108238
2,33367,3,3,1,4,0,3,545,89256
4,9607,1,2,7,5,0,6,546,108255
0,17585,0,0,7,0,0,2,547,111323
0,9057,1,2,4,3,0,7,548,111400
0,20967,5,0,1,0,0,3,549,108328
0,10635,0,3,3,1,0,5,550,111418
0,9479,8,1,7,24,2,9,551,107688
0,10057,0,3,8,30,1,23,552,108333
0,11969,9,4,29,33,4,20,553,108358
0,41590,1,3,9,2,3,12,554,111488
0,319,7,6,27,12,8,19,555,108399
4,26408,3,0,2,0,3,4,556,108515
4,15139,2,5,15,14,0,8,558,110763
2,161158,2,1,3,6,0,2,559,107779
1,218473,0,2,1,1,1,0,560,109226
0,85247,0,2,4,1,0,2,561,110259
0,11446,4,4,6,0,2,5,562,114906
0,51980,6,3,7,0,1,3,563,107002
0,24405,1,3,11,2,1,14,564,109403
0,11655,2,1,3,3,1,3,565,104029
0,11800,2,6,6,1,4,7,566,110623
0,8223,6,4,5,1,0,4,567,107315
1,14587,19,4,4,0,3,0,568,106408
0,31504,1,0,6,1,0,3,569,110363
2,41653,11,1,4,3,0,1,570,107349
0,53185,24,4,4,4,1,3,571,111709
2,95743,1,3,6,3,2,5,572,109828
2,23637,2,0,1,3,0,2,573,107225
0,17600,4,3,4,3,1,4,574,111252
2,10897,3,10,14,4,0,9,575,110366
2,349394,1,1,1,1,0,0,576,106878
2,21352,1,3,3,3,0,1,577,109120
0,68806,3,1,6,7,1,2,579,108059
2,37345,0,3,4,1,0,0,580,110892
4,32562,6,5,15,7,1,11,581,112651
0,47507,0,1,3,0,0,1,582,107642
0,25403,18,2,4,0,0,2,583,109382
1,124304,2,1,2,0,2,0,584,106678
1,9066,6,8,8,1,1,7,585,112572
0,771,11,6,14,25,3,16,586,99785
0,251,1,7,6,35,6,20,587,99653
4,812,4,4,16,69,4,27,588,103639
0,280,11,5,26,25,7,22,589,103064
0,581,38,2,17,47,2,18,590,99348
2,80350,2,2,9,2,0,0,591,114706
0,268,3,2,14,1,1,10,592,96895
0,274,30,4,26,53,6,24,593,102926
0,408,3,3,7,62,0,43,594,29583
4,10020,4,6,11,51,5,26,595,101414
4,10895,2,2,8,36,0,39,596,32910
0,114,4,5,8,0,2,8,597,100405
2,41043,14,1,1,7,0,0,598,110719
2,576,17,4,23,17,0,17,599,65214
2,15477,1,4,6,4,1,3,600,110395
2,59146,5,0,0,4,0,1,601,111752
2,124472,0,0,0,1,0,0,602,109934
0,30528,0,3,4,1,0,5,603,112606
0,7300,27,10,14,6,6,5,605,117247
0,10824,4,4,6,2,2,10,606,112625
0,261246,4,5,8,2,1,4,607,106537
2,275,3,3,11,7,1,4,608,116282
0,25059,1,5,13,2,2,2,609,116552
0,11827,1,5,13,7,0,7,610,82509
4,8766,5,4,9,10,4,8,611,116514
0,23570,0,7,5,5,5,9,612,117283
0,47333,4,7,3,1,1,6,613,116684
1,54850,2,1,1,0,1,0,614,110374
0,51242,2,1,2,1,0,3,615,70506
0,10112,3,3,9,4,0,14,616,65421
0,4307,6,3,4,5,3,6,617,113083
2,46029,1,3,8,8,2,4,618,118001
0,32308,0,1,7,3,0,3,619,116165
0,88893,7,1,6,2,0,3,620,102855
0,52873,3,6,4,1,0,3,621,107471
3,123505,3,4,4,0,0,0,623,113839
0,340210,1,1,5,1,0,1,624,112712
2,44281,4,0,0,24,0,0,625,90665
0,28121,0,3,2,7,1,5,626,117891
2,12520,3,6,9,7,3,7,627,113613
0,1592,0,4,10,1,1,5,628,117381
2,166901,0,0,0,1,0,0,629,114305
0,36447,3,6,4,1,0,2,630,115837
4,19042,0,2,13,8,0,6,631,115509
0,38884,7,2,4,18,3,7,632,114671
2,47449,2,4,2,2,0,1,633,112844
2,36259,0,3,7,3,0,0,634,114658
0,41852,1,4,4,0,0,3,635,116275
2,40926,4,2,1,3,0,1,636,113122
0,9099,1,2,11,1,0,5,637,117608
0,2021,6,8,6,8,5,5,638,113448
0,61752,1,9,10,1,0,1,639,116414
0,10988,1,6,8,2,0,7,640,116095
0,11479,0,2,3,1,0,13,641,111543
0,398959,11,1,1,1,0,2,642,117517
