castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity
33.3,45.5,47000000,12379402.0,0.2633915319,5.7,77.0,104.0,1996.0,0.1448,en,12.866139
25.0,12.5,14000000,19800000.0,1.4142857143,4.5,113.0,100.0,1995.0,0.8164,en,9.071127
7.1,0.0,50000000,150270147.0,3.00540294,5.7,459.0,108.0,1996.0,0.1066,en,14.957626
16.7,18.8,7000000,560069.0,0.0800098571,6.8,285.0,91.0,1996.0,0.1393,en,6.904831
9.1,0.0,12000000,41205099.0,3.43375825,6.5,767.0,92.0,1996.0,0.1257,en,9.592265
57.1,20.0,24000000,182016617.0,7.5840257083,7.3,397.0,135.0,1995.0,0.4027,en,5.951077
3.3,4.0,72000000,210000000.0,2.9166666667,7.7,3404.0,177.0,1995.0,0.3918,en,20.755149
27.3,27.3,1300000,28262574.0,21.7404415385,8.1,2632.0,114.0,1976.0,0.1011,en,14.092713
25.0,0.0,7500000,32392047.0,4.3189396,6.5,245.0,91.0,1995.0,0.0795,cn,12.314278
33.3,0.0,25000000,6278139.0,0.25112556,5.1,7.0,113.0,1995.0,0.7425,en,1.522412
50.0,0.0,40000000,70100000.0,1.7525,5.4,139.0,117.0,1992.0,0.4945,en,6.506983
50.0,45.5,7000000,14702438.0,2.1003482857,6.3,66.0,92.0,1996.0,0.2213,en,5.579088
21.1,0.0,50000000,9851610.0,0.1970322,5.1,45.0,95.0,1995.0,0.7808,en,11.418917
30.0,20.0,31000000,185260553.0,5.976146871,6.7,303.0,117.0,1996.0,0.1831,en,6.49968
33.3,17.6,19000000,141407024.0,7.4424749474,6.5,1729.0,118.0,1995.0,0.263,en,9.262184
37.5,38.5,4000000,851545.0,0.21288625,6.0,11.0,113.0,1995.0,0.5507,en,0.922958
24.0,25.8,52000000,355237933.0,6.8314987115,7.3,1637.0,140.0,1995.0,0.4932,en,18.761467
33.3,0.0,28000000,31596911.0,1.1284611071,6.5,151.0,139.0,1995.0,0.2795,en,10.193549
26.7,27.6,100000000,336529144.0,3.36529144,5.2,1529.0,121.0,1995.0,0.4548,en,13.321354
31.6,14.3,2000000,1275000.0,0.6375,6.8,28.0,83.0,1995.0,0.7041,en,11.528147
6.7,33.3,11000000,178104.0,0.0161912727,5.9,57.0,91.0,1995.0,0.4329,en,5.391556
20.8,41.2,50000000,287928194.0,5.75856388,6.0,1045.0,100.0,1995.0,0.3973,en,12.812539
6.9,0.0,25000000,13071518.0,0.52286072,6.8,69.0,128.0,1995.0,0.7041,en,4.558992
22.2,22.2,50000000,152022101.0,3.04044202,5.0,214.0,109.0,1995.0,0.4356,en,7.260574
0.0,4.5,53000000,157387195.0,2.969569717,7.0,508.0,116.0,1995.0,0.3589,en,8.657365
16.7,16.7,7000000,25405445.0,3.6293492857,6.8,898.0,104.0,1995.0,0.6466,en,6.950458
18.2,33.3,27000000,16140822.0,0.5978082222,6.3,88.0,102.0,1995.0,0.7041,en,4.646132
25.0,4.8,90000000,366101666.0,4.0677962889,6.9,2094.0,128.0,1995.0,0.3781,en,15.138855
18.2,16.7,55000000,127600435.0,2.3200079091,5.9,319.0,134.0,1995.0,0.5123,en,15.178338
15.8,25.0,20000000,7563728.0,0.3781864,6.2,406.0,107.0,1995.0,0.7014,en,14.810519
20.0,0.0,25000000,19075720.0,0.7630288,5.5,380.0,97.0,1995.0,0.3973,en,11.715868
17.6,7.1,90000000,113493481.0,1.2610386778,5.4,643.0,96.0,1995.0,0.4932,en,8.184815
33.3,0.0,1500000,7412216.0,4.9414773333,6.8,280.0,91.0,1995.0,0.5699,en,4.877872
33.3,0.0,500000,1148752.0,2.297504,7.2,64.0,89.0,1995.0,0.0521,en,10.058329
27.8,0.0,6000000,2122561.0,0.3537601667,6.8,400.0,94.0,1995.0,0.8,en,8.25547
30.0,9.1,15000000,66000000.0,4.4,5.2,153.0,92.0,1995.0,0.4932,en,7.024227
0.0,0.0,2,1.0,0.5,6.4,36.0,95.0,1995.0,0.7397,en,2.466066
25.0,0.0,22000000,110627965.0,5.0285438636,5.6,359.0,114.0,1995.0,0.5699,en,13.304342
28.6,66.7,150000,472370.0,3.1491333333,5.8,14.0,94.0,1995.0,0.4356,en,1.165039
28.6,0.0,8,16.0,2.0,6.4,139.0,98.0,1995.0,0.6658,en,10.187623
44.4,0.0,50000000,10382407.0,0.20764814,5.5,111.0,135.0,1995.0,0.7808,en,6.752119
50.0,12.5,45000000,20350754.0,0.4522389778,4.9,261.0,128.0,1995.0,0.7233,en,17.502375
23.1,25.0,7000000,8349430.0,1.1927757143,7.2,115.0,112.0,1995.0,0.4356,en,5.552946
37.7,14.6,35000000,113374103.0,3.2392600857,5.5,457.0,108.0,1995.0,0.5123,en,13.492845
28.6,42.9,42000000,7959291.0,0.1895069286,6.8,334.0,145.0,1995.0,0.7808,en,11.223055
56.2,33.3,14000000,5780000.0,0.4128571429,4.6,9.0,99.0,1995.0,0.6849,en,1.820419
27.3,7.7,60000000,104324083.0,1.7387347167,5.6,217.0,100.0,1995.0,0.5288,en,7.490247
50.0,17.9,20000000,50012507.0,2.50062535,6.5,168.0,103.0,1995.0,0.6082,en,9.715639
23.1,12.9,175000000,264218220.0,1.5098184,5.9,1017.0,135.0,1995.0,0.5699,en,16.885184
40.0,0.0,2800000,2616503.0,0.9344653571,6.7,35.0,135.0,1994.0,0.3288,ru,2.486073
42.9,57.1,2500000,5535405.0,2.214162,7.7,984.0,105.0,1995.0,0.0712,en,11.304979
21.4,27.8,10000000,26488734.0,2.6488734,6.2,464.0,89.0,1995.0,0.1096,en,6.638116
50.0,0.0,21000000,23450000.0,1.1166666667,6.3,48.0,115.0,1995.0,0.0904,en,3.030309
0.0,0.0,27000,3151130.0,116.7085185185,7.4,769.0,92.0,1994.0,0.6986,en,10.513367
58.3,11.1,25000000,22200000.0,0.888,6.3,184.0,97.0,1994.0,0.7479,en,7.438934
50.0,0.0,55000000,214015089.0,3.8911834364,5.9,217.0,123.0,1994.0,0.937,en,11.812244
40.0,31.2,16000000,247275374.0,15.454710875,6.5,1894.0,107.0,1994.0,0.9562,en,9.844558
20.4,22.2,18000000,5887457.0,0.3270809444,7.3,639.0,127.0,1994.0,0.737,en,11.720358
40.0,0.0,15000000,12201255.0,0.813417,5.0,24.0,103.0,1995.0,0.1671,en,8.182165
0.0,0.0,700000,7830611.0,11.1865871429,7.7,91.0,171.0,1994.0,0.6959,en,9.47666
60.0,12.5,5000000,3049135.0,0.609827,6.9,299.0,99.0,1994.0,0.6685,en,9.438042
25.0,0.0,10500000,26325256.0,2.5071672381,6.0,17.0,113.0,1995.0,0.0137,en,2.688562
46.2,38.5,60000000,223664608.0,3.7277434667,7.2,1558.0,123.0,1994.0,0.8603,en,11.970205
41.7,33.3,14000000,2474000.0,0.1767142857,5.2,10.0,139.0,1995.0,0.2438,en,1.596058
48.0,25.0,60000000,37000000.0,0.6166666667,4.7,381.0,109.0,1994.0,0.8904,en,6.710215
6.0,16.7,11000000,775398007.0,70.4907279091,8.1,6778.0,121.0,1977.0,0.3945,en,42.149697
60.0,50.0,2000000,21665468.0,10.832734,6.6,70.0,105.0,1992.0,0.2896,es,4.126083
25.0,25.0,30000000,160638883.0,5.3546294333,7.2,636.0,133.0,1994.0,0.9562,en,12.199047
55.6,50.0,17000000,7603766.0,0.4472803529,6.4,28.0,106.0,1995.0,0.2055,en,7.698526
25.0,16.7,45000000,112006296.0,2.4890288,6.1,272.0,123.0,1994.0,0.8411,en,14.287753
40.0,0.0,6,5.0,0.8333333333,5.6,7.0,95.0,1995.0,0.0712,en,1.137266
20.0,27.3,31000000,106683817.0,3.4414134516,6.1,128.0,112.0,1994.0,0.9753,en,5.930957
23.5,17.6,34000000,50282766.0,1.4789048824,6.9,927.0,119.0,1994.0,0.6466,en,11.226856
14.3,15.4,50000000,189859560.0,3.7971912,6.4,522.0,127.0,1995.0,0.1863,en,13.676444
13.3,20.0,16000000,45284974.0,2.830310875,8.2,4293.0,110.0,1994.0,0.7014,fr,20.477329
42.9,42.9,11000000,2832826.0,0.2575296364,6.6,9.0,113.0,1995.0,0.3589,en,1.433544
39.0,33.3,8000000,213928762.0,26.74109525,8.3,8670.0,154.0,1994.0,0.6904,en,140.950236
18.8,0.0,32000000,18552460.0,0.579764375,6.2,431.0,107.0,1995.0,0.1068,en,7.54701
33.3,0.0,22000000,12400000.0,0.5636363636,6.4,7.0,108.0,1995.0,0.1616,sv,3.395867
50.0,36.4,15000000,11300653.0,0.7533768667,5.3,33.0,133.0,1994.0,0.9753,en,6.259433
20.0,11.8,35000000,9771658.0,0.2791902286,6.5,251.0,89.0,1994.0,0.8795,en,8.910462
33.3,33.3,45000000,170362582.0,3.7858351556,5.5,317.0,110.0,1994.0,0.7644,en,10.388183
16.7,11.8,55000000,196567262.0,3.5739502182,6.8,942.0,121.0,1994.0,0.8192,en,13.328924
33.3,0.0,22000000,189833357.0,8.6287889545,6.3,501.0,97.0,1994.0,0.8575,en,9.665424
0.0,14.3,25000000,28341469.0,1.13365876,8.5,8358.0,142.0,1994.0,0.726,en,51.645403
64.3,22.2,25000000,4064495.0,0.1625798,5.5,140.0,98.0,1995.0,0.2438,en,7.602087
25.0,8.3,38000000,120000000.0,3.1578947368,6.4,461.0,118.0,1994.0,0.8767,en,8.105708
12.5,11.1,6000000,12000000.0,2.0,5.4,33.0,98.0,1995.0,0.3918,en,2.86007
46.7,0.0,11000000,10032765.0,0.9120695455,7.5,943.0,118.0,1993.0,0.9589,en,10.3919
54.5,0.0,30000000,24048000.0,0.8016,5.4,163.0,106.0,1995.0,0.589,en,5.188399
60.0,0.0,17000000,182057016.0,10.7092362353,6.5,340.0,103.0,1995.0,0.3014,en,15.783615
58.3,37.5,3000000,15119639.0,5.0398796667,6.9,104.0,106.0,1994.0,0.7425,en,5.254847
23.1,11.1,15000000,107217396.0,7.1478264,6.4,1684.0,86.0,1994.0,0.0932,en,11.247957
33.3,18.2,5000000,1862805.0,0.372561,7.0,115.0,139.0,1992.0,0.6694,en,11.298195
23.5,13.3,62000000,215887717.0,3.4820599516,6.4,390.0,141.0,1994.0,0.5863,en,7.513245
21.4,26.7,45000000,117615211.0,2.6136713556,6.4,287.0,119.0,1994.0,0.5479,en,15.263829
26.7,6.7,15000000,94000000.0,6.2666666667,7.3,980.0,102.0,1994.0,0.3562,en,15.799336
25.0,16.7,46000000,341631208.0,7.4267653913,5.0,559.0,91.0,1994.0,0.3973,en,15.019586
16.7,22.0,55000000,677945399.0,12.3262799818,8.2,8147.0,142.0,1994.0,0.5096,en,48.307194
37.5,27.3,6000000,254700832.0,42.4501386667,6.6,654.0,117.0,1994.0,0.1836,en,8.990345
46.7,35.7,45000000,61947267.0,1.3766059333,5.3,41.0,123.0,1994.0,0.4904,en,3.570874
30.4,10.5,45000000,788241776.0,17.5164839111,8.0,5520.0,89.0,1994.0,0.474,en,21.605761
40.0,0.0,35000000,4858139.0,0.1388039714,6.0,76.0,140.0,1993.0,0.9151,en,5.681522
44.0,38.5,14000000,18090181.0,1.2921557857,6.4,297.0,112.0,1994.0,0.7808,en,9.860522
26.7,14.3,23000000,351583407.0,15.286235087,6.6,2550.0,101.0,1994.0,0.5726,en,14.13488
60.9,0.0,30000000,51132598.0,1.7044199333,6.4,535.0,83.0,1994.0,0.2082,en,10.587232
46.7,63.6,11500000,20079850.0,1.746073913,6.5,180.0,99.0,1994.0,0.1315,en,6.514592
20.0,16.7,8000000,2000000.0,0.25,6.4,71.0,98.0,1993.0,0.5151,en,5.137903
34.4,20.0,30000000,350448145.0,11.6816048333,6.8,1814.0,116.0,1994.0,0.4356,en,10.859292
18.2,16.7,27000000,101646581.0,3.7646881852,5.5,288.0,99.0,1994.0,0.7041,en,8.907074
30.0,27.8,115000000,378882411.0,3.2946296609,6.8,1138.0,141.0,1994.0,0.5315,en,11.396099
26.1,18.8,63000000,25052000.0,0.3976507937,6.5,203.0,191.0,1994.0,0.4767,en,9.277147
36.4,0.0,10000000,29392418.0,2.9392418,6.0,31.0,100.0,1994.0,0.8932,en,3.021526
44.4,0.0,7000000,20851521.0,2.9787887143,5.9,9.0,119.0,1994.0,0.7397,en,0.912909
15.4,9.1,35000000,99423521.0,2.8406720286,4.1,330.0,102.0,1994.0,0.9726,en,13.58449
14.3,0.0,26000000,36800000.0,1.4153846154,4.5,110.0,99.0,1994.0,0.9096,en,6.866634
10.0,18.2,8000000,8946600.0,1.118325,7.1,307.0,95.0,1994.0,0.9452,en,8.497643
56.2,37.5,34000000,32255440.0,0.9486894118,7.0,172.0,139.0,1993.0,0.7096,en,8.013617
14.3,27.3,17080000,21011500.0,1.2301814988,5.1,42.0,107.0,1994.0,0.0164,en,1.896273
13.6,7.1,50000000,119208989.0,2.38417978,5.5,445.0,104.0,1994.0,0.3918,en,11.787784
50.0,18.2,13000000,428868.0,0.0329898462,5.8,102.0,87.0,1993.0,0.4356,en,6.559693
22.2,23.5,22000000,17287898.0,0.7858135455,7.4,447.0,121.0,1993.0,0.7014,en,6.115628
0.0,0.0,13000000,2570145.0,0.1977034615,3.7,10.0,90.0,1993.0,0.6712,en,1.316741
17.1,17.6,30000000,36516012.0,1.2172004,7.7,805.0,144.0,1993.0,0.8575,en,8.698509
21.4,26.3,70000000,255000211.0,3.6428601571,6.1,600.0,112.0,1993.0,0.4027,en,9.830853
27.3,16.7,40000000,19726050.0,0.49315125,5.4,117.0,121.0,1994.0,0.6301,en,14.228963
52.9,16.7,6900000,7993039.0,1.1584114493,7.4,588.0,102.0,1993.0,0.7288,en,6.8652
11.1,15.2,57000000,159055768.0,2.7904520702,6.4,1018.0,115.0,1993.0,0.7671,en,11.626116
33.3,7.1,30000000,11146270.0,0.3715423333,5.7,77.0,94.0,1993.0,0.7479,en,8.468869
19.0,11.8,42000000,270248367.0,6.4344849286,6.6,513.0,154.0,1993.0,0.4932,en,9.678367
30.0,44.4,20000000,153698625.0,7.68493125,6.0,429.0,112.0,1993.0,0.537,en,5.990572
21.2,14.3,44000000,368875760.0,8.38354,7.2,1240.0,130.0,1993.0,0.5945,en,10.08937
0.0,9.1,35000000,18635620.0,0.5324462857,5.9,44.0,115.0,1993.0,0.9397,en,4.653462
27.3,23.5,18000000,74189677.0,4.1216487222,6.1,237.0,97.0,1993.0,0.6329,en,7.834351
18.2,8.3,25000000,133752825.0,5.350113,6.2,463.0,86.0,1993.0,0.3836,en,13.482371
20.0,37.5,40000000,176997168.0,4.4249292,6.8,392.0,128.0,1993.0,0.5151,en,12.637158
12.9,20.0,13000000,65796862.0,5.0612970769,7.6,363.0,133.0,1993.0,0.9452,en,7.405895
9.5,27.3,63000000,920100000.0,14.6047619048,7.6,4956.0,127.0,1993.0,0.4411,en,8.863776
40.0,22.2,9000000,2395231.0,0.2661367778,6.5,209.0,117.0,1993.0,0.6658,en,8.4337
22.2,14.3,1500000,418961.0,0.2793073333,6.1,111.0,96.0,1993.0,0.7479,en,4.948569
23.8,15.2,85000000,137298489.0,1.6152763412,6.1,725.0,130.0,1993.0,0.4603,en,9.434006
43.8,24.0,13500000,11285588.0,0.8359694815,7.1,169.0,104.0,1993.0,0.6274,en,8.939404
22.2,14.3,3500000,27900000.0,7.9714285714,7.2,179.0,97.0,1993.0,0.3973,en,5.260924
11.8,15.8,55000000,121969216.0,2.2176221091,5.8,261.0,133.0,1996.0,0.2022,en,13.106291
31.2,44.4,25000000,441286195.0,17.6514478,7.0,1638.0,125.0,1993.0,0.8959,en,11.16553
20.0,0.0,12000000,15826984.0,1.3189153333,4.8,202.0,107.0,1994.0,0.5425,en,9.9697
0.0,18.2,20000000,15340000.0,0.767,6.1,86.0,118.0,1994.0,0.3233,en,9.715187
25.0,15.4,30000000,135130999.0,4.5043666333,7.2,376.0,138.0,1993.0,0.8959,en,8.040589
25.0,20.0,26000000,206678440.0,7.9491707692,7.6,1019.0,125.0,1993.0,0.9726,en,13.373006
33.3,50.0,7000000,116700000.0,16.6714285714,7.1,290.0,121.0,1993.0,0.3781,en,7.436758
50.0,8.3,14000000,27515786.0,1.9654132857,6.9,47.0,109.0,1993.0,0.5562,en,6.972599
27.3,0.0,11000000,11439193.0,1.0399266364,6.7,99.0,97.0,1994.0,0.1836,en,5.868677
15.0,27.8,11500000,23237911.0,2.020687913,7.5,213.0,134.0,1993.0,0.8438,en,12.222576
9.1,16.7,40000000,24332324.0,0.6083081,5.9,83.0,128.0,1994.0,0.4192,en,4.985157
30.0,16.7,22000000,10696210.0,0.4861913636,4.2,309.0,104.0,1993.0,0.2904,en,8.685798
12.5,5.6,20000000,35739755.0,1.78698775,6.4,575.0,104.0,1993.0,0.5699,en,17.136672
20.0,40.0,11500000,3275585.0,0.2848334783,5.7,36.0,100.0,1993.0,0.6986,en,9.796318
33.3,0.0,800000,1001437.0,1.25179625,5.6,10.0,114.0,1993.0,0.7671,en,0.941994
7.1,18.2,12000000,22750363.0,1.8958635833,7.2,187.0,114.0,1993.0,0.7096,en,5.914833
26.7,18.8,22000000,321365567.0,14.6075257727,8.3,4436.0,195.0,1993.0,0.9096,en,41.725123
61.9,20.0,13000000,7820688.0,0.6015913846,6.4,137.0,95.0,1994.0,0.2795,en,5.305311
4.8,0.0,25000000,48063435.0,1.9225374,5.4,140.0,108.0,1994.0,0.4959,en,7.881107
50.0,31.8,21000000,227799884.0,10.8476135238,6.5,630.0,105.0,1993.0,0.4767,en,10.234919
53.3,21.7,40000000,116300000.0,2.9075,4.9,144.0,108.0,1993.0,0.3836,en,11.23297
33.3,20.0,28000000,33139618.0,1.1835577857,7.9,3833.0,117.0,1982.0,0.4795,en,96.272374
35.7,12.5,20000000,11585483.0,0.57927415,6.1,131.0,93.0,1993.0,0.5753,en,8.051914
22.2,0.0,48000000,20915465.0,0.4357388542,4.0,236.0,104.0,1993.0,0.4027,en,7.198455
0.0,0.0,7400000,7690013.0,1.0391909459,6.1,53.0,96.0,1994.0,0.2849,en,3.644641
33.3,0.0,50000000,16478900.0,0.329578,5.0,82.0,102.0,1994.0,0.726,en,8.012225
12.5,18.2,18000000,75634409.0,4.2019116111,7.6,2135.0,76.0,1993.0,0.7699,en,17.730913
27.3,4.2,30000000,53898845.0,1.7966281667,6.2,219.0,105.0,1993.0,0.8603,en,6.34785
12.1,16.7,25000000,56505065.0,2.2602026,7.4,632.0,130.0,1993.0,0.9808,en,11.338194
18.2,29.6,12500000,12281551.0,0.98252408,7.5,762.0,120.0,1993.0,0.6877,en,17.189328
25.0,0.0,27000000,13670688.0,0.5063217778,6.2,178.0,80.0,1994.0,0.8932,en,7.436001
30.0,15.8,18000000,476684675.0,26.4824819444,7.1,2487.0,103.0,1990.0,0.8548,en,0.702543
53.8,23.1,22000000,505000000.0,22.9545454545,6.9,1381.0,127.0,1990.0,0.526,en,11.945397
20.0,12.9,28000000,504050219.0,18.0017935357,7.4,3495.0,90.0,1992.0,0.8989,en,16.357419
16.1,24.1,100000000,520000000.0,5.2,7.7,4274.0,137.0,1991.0,0.4959,en,22.661695
10.5,10.0,22000000,424208848.0,19.2822203636,7.6,1084.0,181.0,1990.0,0.8548,en,11.654349
12.5,9.1,35000000,411348924.0,11.7528264,7.0,2145.0,126.0,1989.0,0.474,en,19.10673
13.3,20.0,19000000,272742922.0,14.3548906316,8.1,4549.0,119.0,1991.0,0.0849,en,4.307222
30.0,0.0,1488423,184925486.0,124.2425614224,6.9,1973.0,83.0,1937.0,0.9671,en,16.263878
35.3,16.1,25000000,377350553.0,15.09402212,7.5,3029.0,84.0,1991.0,0.8658,en,23.433511
20.0,0.0,2600000,84300000.0,32.4230769231,6.9,1412.0,88.0,1940.0,0.1448,en,14.202284
38.5,20.0,14000000,463000000.0,33.0714285714,7.0,1807.0,119.0,1990.0,0.2219,en,13.348451
14.8,0.0,6244087,638641.0,0.1022793244,7.7,266.0,145.0,1969.0,0.4575,en,11.722424
21.4,20.0,7000000,60611975.0,8.6588535714,7.7,2080.0,98.0,1996.0,0.2596,en,12.61469
30.8,33.3,4000000,16675000.0,4.16875,4.9,111.0,86.0,1996.0,0.1831,en,5.263187
25.0,0.0,4000000,55675257.0,13.91881425,7.1,1287.0,78.0,1970.0,0.9753,en,9.834047
28.6,16.7,30000000,102616183.0,3.4205394333,7.4,644.0,129.0,1996.0,0.2541,en,10.326213
47.4,0.0,12000000,4939939.0,0.4116615833,5.7,17.0,108.0,1996.0,0.2213,en,4.405169
23.5,14.3,46000000,100860818.0,2.1926264783,6.2,240.0,117.0,1996.0,0.5055,en,11.595316
17.6,23.5,80000000,457696359.0,5.7212044875,6.7,2677.0,110.0,1996.0,0.388,en,15.793477
18.2,36.4,57000000,115267375.0,2.0222346491,6.4,553.0,103.0,1996.0,0.4126,en,23.63659
45.5,13.3,38000000,28921264.0,0.7610858947,6.2,375.0,79.0,1996.0,0.2787,en,13.217623
37.5,0.0,13000000,9789900.0,0.7530692308,4.8,4.0,91.0,1996.0,0.2541,en,1.296862
9.1,19.4,80000000,250200000.0,3.1275,6.5,1335.0,88.0,1996.0,0.8716,en,11.054251
48.4,0.0,9000000,2500000.0,0.2777777778,5.7,149.0,98.0,1968.0,0.7732,en,14.304205
60.0,12.5,25000000,10070000.0,0.4028,5.5,26.0,105.0,1996.0,0.2978,en,9.1861
12.5,0.0,30000000,57400547.0,1.9133515667,5.3,126.0,95.0,1996.0,0.2978,en,7.941972
20.0,0.0,31000000,74151346.0,2.3919789032,6.5,372.0,74.0,1988.0,0.8798,en,10.813579
16.7,0.0,25530000,20080020.0,0.7865264395,5.3,85.0,95.0,1996.0,0.3743,en,4.557006
14.3,33.3,35000000,15000000.0,0.4285714286,6.7,25.0,135.0,1995.0,0.7178,en,1.690768
64.3,0.0,15000000,24769466.0,1.6512977333,6.3,388.0,101.0,1996.0,0.3361,en,12.860385
21.4,14.3,4800000,3014000.0,0.6279166667,5.5,5.0,99.0,1996.0,0.3552,en,0.343579
4.5,19.0,75000000,335062621.0,4.4675016133,6.9,1474.0,136.0,1996.0,0.429,en,13.249824
26.7,21.6,92000000,494471524.0,5.3746904783,6.1,966.0,113.0,1996.0,0.3552,en,8.739144
33.3,26.7,25000000,14048372.0,0.56193488,6.1,200.0,115.0,1996.0,0.4126,en,6.497591
9.1,7.1,1800000,9440272.0,5.2445955556,8.0,1472.0,95.0,1964.0,0.0765,en,9.80398
21.4,0.0,45000000,17300889.0,0.3844642,4.7,138.0,100.0,1996.0,0.429,en,8.079541
43.8,20.0,50000000,113309743.0,2.26619486,4.4,210.0,115.0,1996.0,0.4891,en,11.341502
55.6,0.0,45000000,58620973.0,1.3026882889,5.9,340.0,113.0,1996.0,0.6038,en,6.287245
33.3,7.1,4000000,16491080.0,4.12277,7.8,2737.0,93.0,1996.0,0.1448,en,19.348466
15.4,22.2,75000000,816969268.0,10.8929235733,6.7,3334.0,145.0,1996.0,0.4809,en,17.634197
22.2,37.5,55000000,18626419.0,0.3386621636,5.7,202.0,116.0,1996.0,0.6202,en,12.202063
26.7,17.6,100000000,100138851.0,1.00138851,6.8,1182.0,91.0,1996.0,0.4699,en,13.553999
28.6,0.0,47000000,102825796.0,2.1877828936,5.7,603.0,96.0,1996.0,0.4399,en,7.586577
36.0,10.5,27000000,25023434.0,0.9267938519,6.7,248.0,113.0,1996.0,0.5055,en,11.633347
16.7,13.5,100000000,242295562.0,2.42295562,5.6,553.0,115.0,1996.0,0.4699,en,6.919314
25.0,9.1,54000000,128769345.0,2.3846175,5.4,717.0,95.0,1996.0,0.4836,en,9.651581
31.2,25.9,80000000,159212469.0,1.9901558625,5.8,385.0,115.0,1996.0,0.929,en,11.995799
