noDataCast,femaleCast,maleCast,noDataCrew,femaleCrew,maleCrew,tmdbId,movieId,imdbId
3,1,1,0,0,2,99040,59,112714
1,2,7,3,3,4,11359,60,113419
0,9,8,10,7,11,17182,61,116260
1,7,8,31,6,20,2054,62,113862
2,5,7,1,0,11,10607,63,116126
2,4,6,0,0,3,19760,64,118002
0,6,6,2,0,7,9536,65,115683
3,4,8,5,0,8,11525,66,116839
1,1,3,0,0,2,40628,67,114753
4,2,2,4,2,2,4482,68,113149
1,6,11,1,0,4,10634,69,113118
14,5,14,79,7,31,755,70,116367
1,4,13,5,2,7,11859,71,113010
4,6,11,1,0,3,28387,72,113537
4,4,8,0,0,3,48750,73,113828
16,9,10,145,10,26,20927,74,115644
0,2,5,0,0,3,36929,75,115676
2,2,5,19,4,12,9102,76,114367
3,2,2,5,1,0,124626,77,113973
8,9,12,0,0,11,27526,78,112744
2,3,10,2,0,8,9623,79,116731
5,0,0,1,0,1,46785,80,112445
0,4,10,0,1,7,400,81,114660
10,3,1,8,0,1,880,82,112379
1,5,5,2,0,1,146599,83,114039
1,7,8,0,0,1,188588,84,113612
1,4,3,22,3,3,8447,85,112365
0,1,14,3,0,7,10534,86,118158
1,5,10,1,0,6,17414,87,116151
4,1,12,1,0,1,13997,88,115697
0,4,8,1,1,8,2086,89,113972
1,1,4,3,2,7,61548,90,113490
2,3,6,3,5,6,9095,92,117002
1,2,6,3,1,7,12158,93,114825
3,16,20,14,6,15,9283,94,115639
1,1,13,5,0,12,9208,95,115759
2,4,8,0,1,6,40154,96,113403
8,1,11,14,0,10,406,97,113247
6,4,11,1,0,2,45549,98,111173
4,1,2,2,0,4,63076,99,113283
0,1,6,0,0,6,11062,100,115907
6,1,5,2,3,13,13685,101,115734
1,5,3,0,0,1,47475,102,117102
1,3,5,1,1,6,2045,103,118040
6,1,10,0,0,10,9614,104,116483
5,4,3,3,2,8,688,105,112579
2,2,2,5,2,0,11907,106,110251
5,1,6,1,0,7,10874,107,117110
29,9,10,2,0,0,89333,108,112646
1,1,7,4,0,1,96357,109,113276
25,1,29,42,1,24,197,110,112573
8,6,16,24,6,16,103,111,75314
5,1,3,3,0,1,33542,112,113326
2,4,9,0,0,4,43566,113,115645
1,3,2,22,1,6,71754,114,113774
3,2,8,6,1,2,43612,115,112556
0,1,1,1,0,0,51352,116,112373
15,3,10,7,1,1,16934,117,115033
1,3,3,2,1,3,10324,118,116606
0,3,6,3,0,2,78406,119,114536
4,3,7,0,0,2,55731,120,117427
1,0,4,0,0,1,32119,121,106473
1,6,6,2,0,4,11066,122,103859
7,3,2,8,0,5,11104,123,109424
49,2,9,4,0,0,37975,124,114808
5,10,10,4,5,6,2074,125,116324
1,5,8,5,2,11,27793,126,110647
5,1,0,14,0,0,44284,127,111055
1,0,0,2,0,0,290157,128,110217
1,3,5,11,5,9,110972,129,114131
2,2,1,8,5,3,32622,130,112364
1,1,5,4,0,3,73067,131,113107
2,4,15,3,0,3,11863,132,113451
13,0,2,0,0,2,55475,133,114015
11,0,1,2,0,0,124636,134,114500
8,5,34,9,5,14,9101,135,116130
0,2,0,5,1,0,123360,136,113125
7,6,6,2,0,3,5757,137,113756
0,6,5,1,2,4,39428,138,113952
0,0,0,1,0,0,124639,139,114618
1,4,7,2,1,5,9302,140,118055
0,3,7,0,1,4,11000,141,115685
0,1,4,3,0,1,249882,143,113200
4,4,2,4,0,3,16388,144,112585
11,7,14,3,3,14,9737,145,112442
1,1,3,1,0,2,30765,146,112342
3,2,7,5,2,3,10474,147,112461
4,6,10,16,5,8,22279,148,112427
1,6,6,8,2,7,30157,149,109093
2,6,19,79,8,23,568,150,112384
9,5,10,2,0,7,11780,151,114287
0,3,3,3,0,4,34996,152,112288
2,4,11,70,8,21,414,153,112462
6,4,9,17,0,7,649,154,61395
10,2,2,2,2,11,1873,155,112495
1,6,13,5,2,12,5894,156,112541
2,1,14,3,3,6,1775,157,109370
10,5,19,5,7,10,8839,158,112642
49,2,27,1,0,2,20649,159,112688
3,4,14,0,2,7,10329,160,112715
2,0,16,10,1,21,8963,161,112740
3,1,2,3,2,3,26564,162,109508
4,2,10,8,2,10,8068,163,112851
0,2,9,2,2,4,8512,164,112857
5,3,9,28,1,20,1572,165,112864
4,3,7,1,3,8,13552,166,112887
1,2,4,10,2,8,259209,167,113044
5,2,9,4,2,10,6520,168,113071
0,3,7,3,3,4,9073,169,113114
6,3,16,13,4,12,10428,170,113243
0,8,8,5,1,5,17447,171,113464
23,3,12,3,0,6,9886,172,113481
0,3,14,6,1,13,9482,173,113492
5,5,11,2,2,2,19326,174,113500
10,2,4,5,0,5,9344,175,113540
0,3,6,3,0,3,9071,176,113677
0,6,11,4,0,7,8973,177,113690
3,3,7,1,0,1,15730,178,107447
18,4,7,1,2,2,47608,179,113729
0,5,13,2,0,8,2293,180,113749
2,3,7,4,1,10,9070,181,113820
0,6,1,2,0,1,68274,182,113851
5,0,8,3,0,3,48787,183,110604
0,2,4,4,3,8,34574,184,110620
12,5,15,0,0,6,1642,185,113957
8,9,6,17,5,19,11472,186,113986
1,2,5,7,6,3,36196,187,114095
2,2,5,1,0,7,11980,188,114194
1,1,2,5,3,9,58372,189,114241
2,6,5,2,2,5,32646,190,114323
2,4,5,5,0,5,10533,191,114345
3,0,5,0,0,0,56088,192,114435
1,11,11,1,1,7,10802,193,114436
1,3,10,3,2,6,10149,194,114478
5,7,4,0,3,2,18402,195,114496
0,20,33,2,6,35,9348,196,114508
1,3,6,1,0,1,139408,197,114534
0,4,10,3,6,8,281,198,114558
4,2,3,8,0,2,5967,199,58450
7,18,14,10,6,12,79593,200,114666
1,5,13,0,3,2,47939,201,114663
8,2,7,3,2,4,36834,202,114702
0,6,9,3,5,8,9090,203,114682
1,3,8,7,1,12,3512,204,114781
1,1,3,0,1,1,52856,205,114798
1,4,2,0,0,1,77350,206,114805
0,4,4,30,5,23,9560,207,114887
2,3,10,85,4,27,9804,208,114898
0,2,3,2,0,0,31611,209,114928
0,4,7,0,0,2,65796,210,114938
3,2,7,1,0,2,49805,211,109340
2,1,7,1,0,4,26258,212,112602
1,2,3,16,0,7,50797,213,111579
16,3,7,40,4,8,19155,214,110882
20,3,4,5,4,3,76,215,112471
3,3,11,12,5,13,11017,216,112508
1,2,5,1,0,2,37141,217,112438
0,3,3,3,0,7,9382,218,112571
0,2,5,3,0,4,6715,219,112757
7,2,3,14,0,13,18256,220,112643
2,2,6,19,3,11,22625,222,112679
8,0,7,1,0,6,2292,223,109445
1,7,5,3,1,8,1909,224,112883
0,6,6,0,0,6,8984,225,109635
0,2,6,1,0,1,61813,226,112899
0,1,7,5,1,12,4954,227,109676
0,1,4,0,0,3,62488,228,112854
8,2,2,12,6,7,10531,229,109579
1,3,5,6,1,10,11929,230,109642
10,28,42,37,15,33,8467,231,109686
12,2,1,5,0,5,10451,232,111797
0,3,11,0,0,2,20156,233,109759
8,12,9,4,7,6,18395,234,109758
19,10,39,34,4,14,522,235,109707
1,3,4,0,1,6,397,236,113117
17,6,9,0,0,9,10525,237,113097
7,3,5,2,0,0,27985,238,113028
0,4,11,10,0,13,15789,239,113198
2,2,3,2,0,2,27303,240,113303
2,3,10,5,4,8,21183,241,113089
2,2,1,2,1,2,10954,242,109771
0,0,2,1,0,0,47867,243,113199
0,0,0,1,0,0,43475,244,113234
0,4,18,11,1,6,72031,245,109906
0,0,3,0,0,3,14275,246,110057
4,6,4,2,1,7,1024,247,110005
0,2,6,0,0,1,17207,248,110066
2,5,10,0,0,5,13701,249,110116
0,1,11,0,0,3,14819,250,110006
2,3,4,0,0,2,32631,251,113360
0,1,10,0,2,8,11777,252,110099
2,6,7,5,5,8,628,253,110148
2,5,7,1,1,2,87729,254,113463
1,1,7,1,0,0,18713,255,110189
41,12,13,1,2,6,6280,256,110216
20,27,13,7,8,16,9061,257,113501
0,2,4,0,0,1,37108,258,113538
0,2,8,3,0,4,6071,259,113552
56,3,47,2,3,15,11,260,76759
0,6,4,19,8,5,9587,261,110367
1,7,1,28,3,15,19101,262,113670
24,1,3,0,1,2,49980,263,110296
3,3,3,3,0,2,17961,264,109731
5,6,4,27,4,4,18183,265,103994
9,4,12,1,4,12,4476,266,110322
11,1,10,2,0,7,11008,267,110443
0,2,5,6,3,9,47504,268,110365
2,2,4,1,4,3,32325,269,107566
2,7,10,13,4,14,43742,270,110391
1,5,4,3,2,2,28313,271,113691
4,4,13,0,0,6,11318,272,110428
4,4,12,3,2,10,3036,273,109836
3,1,11,1,0,5,40490,274,113755
0,6,8,4,4,10,24070,275,110538
0,2,7,1,2,6,8986,276,110516
0,4,5,1,0,8,10510,277,110527
1,2,3,0,0,2,17402,278,113808
3,3,4,0,0,3,38722,279,113896
0,3,6,1,0,4,8438,280,113870
12,7,14,6,3,10,11593,281,110684
16,2,8,4,3,8,1945,282,110638
1,1,6,1,0,4,39310,283,113967
4,1,9,2,0,1,109560,284,117169
0,2,4,1,0,3,56428,285,106402
5,3,2,1,0,2,63105,286,113948
0,2,3,0,0,2,131957,287,110671
13,8,26,3,3,14,241,288,110632
0,3,5,2,1,4,9058,289,110737
7,2,7,10,0,3,527,290,110729
3,3,2,1,1,0,18220,291,114151
0,2,12,0,2,11,6950,292,114069
9,4,26,9,2,8,101,293,110413
0,3,4,5,6,8,63020,294,114113
0,3,6,4,3,7,2307,295,114210
13,16,25,54,11,22,680,296,110912
0,3,10,1,0,2,41478,297,114084
9,0,0,1,0,3,25296,298,105652
7,6,10,6,2,3,40156,299,110889
3,5,22,10,2,12,11450,300,110932
3,2,2,49,5,4,30304,301,114129
15,7,12,4,1,9,10452,302,110963
0,3,13,2,0,8,12106,303,114214
0,2,4,0,0,1,161495,304,114296
13,17,17,3,4,7,3586,305,110907
3,3,4,2,0,8,110,306,111495
4,5,2,1,1,9,108,307,108394
2,2,6,5,2,5,109,308,111507
2,0,0,4,0,1,159185,309,110769
2,0,3,0,0,2,36357,310,114268
1,3,6,0,0,2,92769,311,110965
0,4,5,1,0,3,28033,312,114571
3,2,8,58,2,15,22586,313,111333
4,0,3,6,3,9,14334,314,111112
6,2,4,5,3,6,2636,315,111255
3,2,10,13,2,15,2164,316,111282
2,3,6,0,0,8,11395,317,111070
15,0,27,62,4,24,278,318,111161
4,1,10,8,2,6,9905,319,111149
1,3,4,19,3,9,87078,320,108260
10,0,2,11,0,1,12527,321,106966
0,1,8,0,0,2,20306,322,114594
7,4,4,0,0,4,36614,324,111309
2,4,10,1,0,2,27993,325,113936
5,2,8,3,0,1,31439,326,110081
34,27,15,1,2,7,9067,327,114614
2,6,10,6,2,13,9059,328,114608
1,4,12,3,1,11,193,329,111280
6,3,21,0,1,8,25066,330,114609
3,5,6,0,1,5,46797,331,111454
2,6,6,0,1,11,12122,332,114852
0,2,8,0,1,5,11381,333,114694
1,4,5,1,1,6,32636,334,111590
17,6,14,7,7,10,36141,335,114788
0,1,5,0,0,2,95963,336,114888
10,7,8,0,0,3,1587,337,108550
0,6,5,3,0,5,9271,338,114857
0,6,4,5,0,3,2064,339,114924
6,6,10,4,0,3,19855,340,111667
1,2,3,21,3,3,60855,341,109655
2,7,5,4,3,5,236,342,110598
1,11,3,1,1,0,48287,343,112435
6,3,10,1,1,8,3049,344,109040
2,0,4,0,2,6,2759,345,109045
9,2,10,3,1,7,12635,346,106339
7,2,4,22,2,9,10497,347,104779
1,3,7,0,1,7,11382,348,109348
1,4,13,55,4,26,9331,349,109444
1,3,11,1,4,11,10731,350,109446
0,3,4,3,4,3,10464,351,109484
3,2,11,0,1,2,34152,352,109504
1,4,11,10,1,14,9495,353,109506
0,1,3,1,1,2,29973,354,109450
3,3,9,7,4,20,888,355,109813
24,7,35,90,9,32,13,356,109830
5,9,15,2,3,8,712,357,109831
1,6,7,2,1,7,16295,358,113305
4,3,2,0,2,0,48992,359,110091
1,7,8,12,5,9,10879,360,110093
18,6,17,1,1,5,10660,361,110167
1,1,4,5,0,8,10714,362,110213
4,2,1,9,0,0,41647,363,107472
5,7,16,16,2,17,8587,364,110357
7,2,3,0,0,7,1689,365,107426
17,11,14,24,5,8,11596,366,111686
1,4,11,7,1,6,854,367,110475
17,8,34,0,0,9,9359,368,110478
0,11,20,2,0,4,23333,369,110588
8,14,9,1,0,12,36593,370,110622
1,4,5,0,0,11,12280,371,110771
2,7,8,2,7,4,2788,372,110950
5,2,8,0,2,10,10427,373,105226
0,2,8,2,2,8,11011,374,110989
1,2,4,0,2,1,49803,375,111054
0,3,7,1,0,6,8987,376,110997
26,11,21,0,2,8,1637,377,111257
0,2,7,0,0,3,15128,378,111256
4,2,9,3,2,10,8831,379,111438
0,3,7,5,5,13,36955,380,111503
11,21,11,5,0,6,10449,381,111693
0,5,10,13,7,16,10395,382,111742
1,6,17,2,3,13,12160,383,111756
0,2,5,1,0,1,40480,384,112443
1,2,4,7,3,9,52038,385,110455
0,3,6,7,4,7,29444,386,111048
18,8,14,0,0,2,26352,387,110399
12,1,2,2,0,4,39953,388,112570
0,3,5,4,0,0,41580,389,109454
8,1,1,7,0,2,315,390,59170
0,4,5,1,0,1,22067,391,110186
2,0,1,0,0,2,18242,392,108069
1,2,11,7,1,10,11667,393,111301
1,2,6,0,0,1,32502,394,112702
1,3,4,0,0,2,267188,395,112849
1,1,3,2,0,1,28732,396,113014
2,4,5,5,1,5,75555,397,113043
0,0,0,0,0,1,42981,398,113104
0,2,4,1,0,2,278939,399,113173
0,2,3,3,0,0,291731,400,113319
0,1,3,1,0,0,226229,401,113827
1,2,3,0,0,2,203119,402,114047
0,1,3,0,0,1,172923,403,112889
0,0,1,2,0,0,316098,404,109339
1,1,6,1,0,4,8011,405,110027
0,1,2,0,0,1,171857,406,109785
2,1,9,2,2,9,2654,407,113409
0,2,4,1,0,1,18069,408,109021
0,0,7,0,0,1,19092,409,109035
1,8,14,2,0,12,2758,410,106220
0,0,1,0,0,2,38129,411,111804
8,9,7,0,3,5,10436,412,106226
0,2,12,7,2,7,13595,413,109068
6,1,6,11,3,8,46094,414,109067
1,3,5,1,2,5,9409,415,106292
0,4,5,1,1,4,11853,416,109198
0,2,3,0,0,2,16771,417,109219
11,2,21,2,1,9,46924,418,106379
1,6,5,2,0,8,11041,419,106400
1,3,19,0,1,13,306,420,109254
2,2,16,2,6,7,14522,421,109279
1,3,4,1,0,1,26203,422,109297
3,4,8,3,1,10,178,423,109303
1,2,7,5,0,11,19819,424,109305
0,3,3,5,3,7,57834,425,109306
2,4,4,5,2,9,4722,426,106452
12,2,6,7,3,6,18215,427,106471
22,2,7,28,4,13,1607,428,106489
0,3,10,1,0,3,26391,429,109361
3,0,5,1,0,1,117553,430,106505
22,7,34,23,3,14,6075,431,106519
2,2,10,0,0,5,11310,432,109439
1,4,11,1,1,5,18658,433,109443
1,3,11,10,5,14,9350,434,106582
2,9,20,1,1,10,9612,435,106598
4,3,8,3,2,10,2124,436,109456
0,2,6,1,0,1,26261,437,109480
0,3,8,6,3,10,19176,438,109493
2,1,3,0,0,2,49299,439,106660
40,9,27,9,3,14,11566,440,106673
0,9,8,2,1,5,9571,441,106677
4,2,16,91,5,28,9739,442,106697
0,0,0,0,0,1,24257,443,109729
3,7,8,6,6,10,34444,444,106834
0,3,7,1,1,6,26141,445,106873
13,1,3,4,0,2,10997,446,106332
0,3,4,5,5,7,50463,447,109783
38,28,16,6,6,12,10443,448,106881
2,1,5,0,0,2,20239,449,106880
17,2,5,4,3,5,16297,450,111732
6,4,5,0,0,2,18551,451,106926
1,2,2,1,0,1,25440,452,111712
4,4,8,0,1,13,9024,453,106941
1,4,17,2,2,15,37233,454,106918
5,3,7,2,4,5,1634,455,106965
16,5,13,9,2,8,13815,456,109842
29,7,26,10,3,18,5503,457,106977
7,0,24,28,2,20,35588,458,107004
1,2,8,0,2,11,2087,459,109890
0,1,5,0,0,3,41579,460,109891
4,1,0,3,7,1,18620,461,109913
0,2,4,0,0,2,41006,462,109920
1,3,5,0,0,6,4916,463,107057
5,3,8,26,4,13,2019,464,107076
2,5,7,0,1,5,31642,465,107096
2,2,9,2,1,11,9255,466,107144
3,5,3,10,3,4,26271,467,113674
9,2,8,25,5,7,10612,468,112966
5,6,5,2,4,7,2259,469,107151
4,3,6,2,0,2,16097,470,110064
3,3,18,4,0,6,11934,471,110074
3,5,4,3,3,9,106143,472,110097
0,2,4,14,4,14,12475,473,110123
15,5,20,12,9,15,9386,474,107206
27,4,27,30,5,20,7984,475,107207
0,4,5,0,0,1,59930,476,110137
0,8,3,1,1,1,15765,477,108551
0,1,4,0,0,4,31643,478,110197
3,3,9,5,2,9,6,479,107286
6,2,19,85,9,24,329,480,107290
1,4,6,22,4,14,10909,481,107302
2,2,7,0,1,6,507,482,110265
2,5,5,1,0,4,34024,483,107322
1,2,4,1,0,2,29918,484,110305
1,5,16,64,5,28,9593,485,107362
0,2,5,1,0,2,42580,486,107413
0,2,8,2,0,5,22317,487,110353
0,3,4,1,4,4,1413,488,107468
0,3,2,4,2,6,12121,489,107478
0,5,7,1,2,10,2246,490,107497
10,6,12,6,3,8,10502,491,107501
8,7,9,10,6,19,10440,492,107507
3,2,7,1,1,6,9516,493,107554
1,2,15,3,3,16,2320,494,116253
6,0,2,3,0,4,5879,495,74102
0,1,1,2,1,7,83718,496,111689
0,4,8,0,0,10,11971,497,107616
1,10,9,2,0,8,2625,498,107611
0,2,2,21,4,11,31911,499,107613
9,5,11,3,8,10,788,500,107614
0,5,5,0,0,6,21450,501,107653
5,2,8,2,0,6,11231,502,110657
2,4,4,0,0,2,41588,503,110649
18,0,16,51,2,9,10447,504,110678
17,13,26,0,3,15,31586,505,110687
17,5,16,4,3,3,9300,506,107756
9,5,15,1,2,11,9559,507,107808
25,9,27,16,4,16,9800,508,107818
3,4,8,3,2,2,713,509,107822
10,9,9,0,1,11,8291,510,107840
2,2,7,5,1,9,18133,511,107889
1,1,13,8,0,8,25557,512,111003
1,3,16,0,1,5,22588,513,110939
1,3,8,3,0,12,10872,514,110955
13,3,17,23,5,13,1245,515,107943
1,1,10,0,1,5,11858,516,110971
4,5,16,1,1,13,7007,517,107969
0,3,6,1,1,9,10467,518,111001
2,6,14,3,2,10,5550,519,107978
1,2,14,57,1,17,8005,520,107977
2,3,12,8,4,6,2088,521,107983
2,1,3,2,0,5,10412,522,105275
6,1,2,9,0,4,47889,523,108000
10,1,13,6,2,9,14534,524,108002
0,1,5,1,0,1,56583,525,108026
4,2,1,1,0,2,41878,526,105032
15,4,11,20,3,13,424,527,108052
0,2,7,2,0,3,35233,528,111094
1,2,10,3,1,5,14291,529,108065
1,1,4,2,1,2,103413,530,111102
9,4,5,26,5,11,11236,531,108071
46,13,8,1,1,4,11592,532,111127
3,1,20,1,0,6,8850,533,111143
1,2,11,3,5,18,10445,534,108101
8,9,14,6,2,10,695,535,108122
1,2,3,0,0,1,43535,536,111194
3,3,4,2,2,5,12519,537,111201
1,5,11,0,0,2,23210,538,108149
5,9,9,5,7,15,858,539,108160
3,8,7,28,5,18,867,540,108162
13,6,12,17,4,16,78,541,83658
1,2,6,0,1,2,13203,542,108186
4,5,9,1,1,7,10442,543,108174
1,1,9,2,0,6,11074,544,108238
3,3,1,4,0,3,33367,545,89256
1,2,7,5,0,6,9607,546,108255
0,0,7,0,0,2,17585,547,111323
1,2,4,3,0,7,9057,548,111400
5,0,1,0,0,3,20967,549,108328
0,3,3,1,0,5,10635,550,111418
8,1,7,24,2,9,9479,551,107688
0,3,8,30,1,23,10057,552,108333
9,4,29,33,4,20,11969,553,108358
1,3,9,2,3,12,41590,554,111488
7,6,27,12,8,19,319,555,108399
3,0,2,0,3,4,26408,556,108515
2,5,15,14,0,8,15139,558,110763
2,1,3,6,0,2,161158,559,107779
0,2,1,1,1,0,218473,560,109226
0,2,4,1,0,2,85247,561,110259
4,4,6,0,2,5,11446,562,114906
6,3,7,0,1,3,51980,563,107002
1,3,11,2,1,14,24405,564,109403
2,1,3,3,1,3,11655,565,104029
2,6,6,1,4,7,11800,566,110623
6,4,5,1,0,4,8223,567,107315
19,4,4,0,3,0,14587,568,106408
1,0,6,1,0,3,31504,569,110363
11,1,4,3,0,1,41653,570,107349
24,4,4,4,1,3,53185,571,111709
1,3,6,3,2,5,95743,572,109828
2,0,1,3,0,2,23637,573,107225
4,3,4,3,1,4,17600,574,111252
3,10,14,4,0,9,10897,575,110366
1,1,1,1,0,0,349394,576,106878
1,3,3,3,0,1,21352,577,109120
3,1,6,7,1,2,68806,579,108059
0,3,4,1,0,0,37345,580,110892
6,5,15,7,1,11,32562,581,112651
0,1,3,0,0,1,47507,582,107642
18,2,4,0,0,2,25403,583,109382
2,1,2,0,2,0,124304,584,106678
6,8,8,1,1,7,9066,585,112572
11,6,14,25,3,16,771,586,99785
1,7,6,35,6,20,251,587,99653
4,4,16,69,4,27,812,588,103639
11,5,26,25,7,22,280,589,103064
38,2,17,47,2,18,581,590,99348
2,2,9,2,0,0,80350,591,114706
3,2,14,1,1,10,268,592,96895
30,4,26,53,6,24,274,593,102926
3,3,7,62,0,43,408,594,29583
4,6,11,51,5,26,10020,595,101414
2,2,8,36,0,39,10895,596,32910
4,5,8,0,2,8,114,597,100405
14,1,1,7,0,0,41043,598,110719
17,4,23,17,0,17,576,599,65214
1,4,6,4,1,3,15477,600,110395
5,0,0,4,0,1,59146,601,111752
0,0,0,1,0,0,124472,602,109934
0,3,4,1,0,5,30528,603,112606
27,10,14,6,6,5,7300,605,117247
4,4,6,2,2,10,10824,606,112625
4,5,8,2,1,4,261246,607,106537
3,3,11,7,1,4,275,608,116282
1,5,13,2,2,2,25059,609,116552
1,5,13,7,0,7,11827,610,82509
5,4,9,10,4,8,8766,611,116514
0,7,5,5,5,9,23570,612,117283
4,7,3,1,1,6,47333,613,116684
2,1,1,0,1,0,54850,614,110374
2,1,2,1,0,3,51242,615,70506
3,3,9,4,0,14,10112,616,65421
6,3,4,5,3,6,4307,617,113083
1,3,8,8,2,4,46029,618,118001
0,1,7,3,0,3,32308,619,116165
7,1,6,2,0,3,88893,620,102855
3,6,4,1,0,3,52873,621,107471
3,4,4,0,0,0,123505,623,113839
1,1,5,1,0,1,340210,624,112712
4,0,0,24,0,0,44281,625,90665
0,3,2,7,1,5,28121,626,117891
3,6,9,7,3,7,12520,627,113613
0,4,10,1,1,5,1592,628,117381
0,0,0,1,0,0,166901,629,114305
3,6,4,1,0,2,36447,630,115837
0,2,13,8,0,6,19042,631,115509
7,2,4,18,3,7,38884,632,114671
2,4,2,2,0,1,47449,633,112844
0,3,7,3,0,0,36259,634,114658
1,4,4,0,0,3,41852,635,116275
4,2,1,3,0,1,40926,636,113122
1,2,11,1,0,5,9099,637,117608
6,8,6,8,5,5,2021,638,113448
1,9,10,1,0,1,61752,639,116414
1,6,8,2,0,7,10988,640,116095
0,2,3,1,0,13,11479,641,111543
11,1,1,1,0,2,398959,642,117517
4,2,5,0,0,1,287305,643,117312
4,1,2,0,0,0,339428,644,116485
5,3,6,5,0,4,12652,645,113947
3,4,13,4,1,6,10684,647,115956
13,3,14,57,8,26,954,648,117060
3,2,3,3,0,2,68445,649,109028
1,4,3,1,0,3,18989,650,117071
7,5,7,5,1,2,10801,651,117788
0,2,2,1,0,1,54285,652,112257
7,2,9,7,4,7,8840,653,116136
4,2,3,0,0,1,278978,654,118026
3,1,5,0,0,2,124625,655,117117
13,3,16,4,0,11,11107,656,116168
8,1,2,9,0,1,16417,657,111787
12,1,2,2,0,0,70934,658,112509
6,2,7,16,0,11,10363,659,54189
2,1,4,0,0,3,161070,660,115591
4,5,6,40,2,13,10539,661,116683
1,3,6,14,6,11,10543,662,116287
1,5,6,11,0,14,18414,663,116768
2,3,5,1,0,4,47502,664,116269
21,2,10,11,1,9,11902,665,114787
4,2,3,5,0,5,27098,666,113720
3,0,4,0,0,2,25087,667,112536
17,2,0,9,0,6,5801,668,48473
5,1,1,17,0,6,896,670,52572
1,0,4,9,1,8,3065,671,117128
0,0,0,0,0,0,318177,672,114616
17,1,10,85,6,25,2300,673,117705
0,15,16,7,0,9,8069,674,62711
3,2,0,0,2,0,288173,675,110061
8,0,1,0,0,1,187851,676,140614
1,0,2,0,0,2,27768,678,108181
2,2,2,2,0,1,221917,679,114307
3,3,4,4,0,3,8072,680,58898
14,1,5,3,0,6,35797,681,82206
2,0,0,0,0,1,88030,682,111430
0,0,0,1,0,0,185191,683,107727
6,4,1,4,1,8,83857,684,81759
0,8,10,0,0,1,33245,685,113443
0,2,2,1,0,0,124460,687,109491
4,0,13,1,0,2,27281,688,114048
2,4,3,1,2,1,105045,690,111613
2,4,3,1,2,1,105045,1533,117398
2,4,3,1,2,1,105045,690,111613
2,4,3,1,2,1,105045,1533,117398
2,6,4,4,1,7,40001,691,117104
14,1,13,2,0,1,29621,692,117688
0,0,0,1,0,0,117730,693,109751
2,1,9,0,0,1,20762,694,117774
1,3,3,0,2,0,37144,695,114736
6,7,1,0,0,2,48260,696,112604
2,3,6,2,1,8,12656,697,116289
4,0,3,2,1,0,38867,698,109593
2,0,4,3,0,0,277270,699,103095
0,5,8,1,0,1,25969,700,112368
11,1,6,5,0,0,44103,701,104046
1,6,5,2,0,9,753,702,62952
0,2,4,1,2,0,43634,703,115742
4,1,7,4,0,2,9103,704,117420
0,3,5,0,0,2,90214,705,115951
1,4,10,2,0,1,29649,706,117784
1,6,15,0,1,5,10990,707,117107
1,2,5,33,8,10,8866,708,117979
